Datetime,Inova Sup RHT - 337457Val1,Inova Sup RHT - 337457Val2,Inova Sup RHT - 337457Val3,Inova Sup RHT - 337457Val4,Inova Sup RHT - 337457Val5,Inova Sup RHT - 337457Val6
2021-09-26 02:14:00,66.4,16.77,10.5,55.5,16.2,-999.0
2021-09-26 02:15:00,66.4,16.77,10.5,55.5,16.2,-999.0
2021-09-26 02:16:00,66.4,16.77,10.5,55.5,16.2,-999.0
2021-09-26 02:17:00,66.4,16.77,10.5,55.5,16.2,-999.0
2021-09-26 02:18:00,66.4,16.76,10.5,55.5,16.2,-999.0
2021-09-26 02:19:00,66.43,16.76,10.5,55.5,16.2,-999.0
2021-09-26 02:20:00,66.4,16.76,10.5,55.5,16.2,-999.0
2021-09-26 02:21:00,66.4,16.74,10.5,55.4,16.2,-999.0
2021-09-26 02:22:00,66.43,16.74,10.5,55.5,16.2,-999.0
2021-09-26 02:23:00,66.43,16.74,10.5,55.5,16.2,-999.0
2021-09-26 02:24:00,66.43,16.73,10.4,55.4,16.2,-999.0
2021-09-26 02:25:00,66.43,16.73,10.4,55.4,16.2,-999.0
2021-09-26 02:26:00,66.43,16.73,10.4,55.4,16.2,-999.0
2021-09-26 02:27:00,66.43,16.73,10.4,55.4,16.2,-999.0
2021-09-26 02:28:00,66.43,16.73,10.4,55.4,16.2,-999.0
2021-09-26 02:29:00,66.43,16.72,10.4,55.4,16.2,12.8
2021-09-26 02:30:00,66.43,16.72,10.4,55.4,16.2,12.8
2021-09-26 02:31:00,66.43,16.72,10.4,55.4,16.2,12.8
2021-09-26 02:32:00,66.43,16.72,10.4,55.4,16.2,12.8
2021-09-26 02:33:00,66.43,16.72,10.4,55.4,16.2,12.8
2021-09-26 02:34:00,66.43,16.71,10.4,55.3,16.2,-999.0
2021-09-26 02:35:00,66.43,16.71,10.4,55.3,16.2,-999.0
2021-09-26 02:36:00,66.43,16.71,10.4,55.3,16.2,-999.0
2021-09-26 02:37:00,66.43,16.7,10.4,55.3,16.2,-999.0
2021-09-26 02:38:00,66.4,16.7,10.4,55.3,16.2,-999.0
2021-09-26 02:39:00,66.4,16.7,10.4,55.3,16.2,-999.0
2021-09-26 02:40:00,66.4,16.69,10.4,55.3,16.1,-999.0
2021-09-26 02:41:00,66.4,16.69,10.4,55.3,16.1,-999.0
2021-09-26 02:42:00,66.4,16.69,10.4,55.3,16.1,-999.0
2021-09-26 02:43:00,66.4,16.69,10.4,55.3,16.1,-999.0
2021-09-26 02:44:00,66.4,16.69,10.4,55.3,16.1,-999.0
2021-09-26 02:45:00,66.42,16.68,10.4,55.2,16.1,-999.0
2021-09-26 02:46:00,66.42,16.68,10.4,55.2,16.1,-999.0
2021-09-26 02:47:00,66.42,16.68,10.4,55.2,16.1,-999.0
2021-09-26 02:48:00,66.42,16.68,10.4,55.2,16.1,-999.0
2021-09-26 02:49:00,66.42,16.68,10.4,55.2,16.1,-999.0
2021-09-26 02:50:00,66.42,16.67,10.4,55.2,16.1,-999.0
2021-09-26 02:51:00,66.42,16.67,10.4,55.2,16.1,-999.0
2021-09-26 02:52:00,66.42,16.67,10.4,55.2,16.1,-999.0
2021-09-26 02:53:00,66.42,16.66,10.4,55.2,16.1,-999.0
2021-09-26 02:54:00,66.42,16.66,10.4,55.2,16.1,12.8
2021-09-26 02:55:00,66.42,16.66,10.4,55.2,16.1,12.8
2021-09-26 02:56:00,66.42,16.66,10.4,55.2,16.1,12.8
2021-09-26 02:57:00,66.42,16.66,10.4,55.2,16.1,12.8
2021-09-26 02:58:00,66.42,16.65,10.4,55.1,16.1,12.8
2021-09-26 02:59:00,66.42,16.65,10.4,55.1,16.1,-999.0
2021-09-26 03:00:00,66.42,16.64,10.4,55.1,16.1,-999.0
2021-09-26 03:01:00,66.42,16.64,10.4,55.1,16.1,-999.0
2021-09-26 03:02:00,66.42,16.64,10.4,55.1,16.1,-999.0
2021-09-26 03:03:00,66.42,16.64,10.4,55.1,16.1,-999.0
2021-09-26 03:04:00,66.42,16.64,10.4,55.1,16.1,12.7
2021-09-26 03:05:00,66.42,16.63,10.4,55.1,16.1,12.7
